ID,Διεύθυνση ηλεκτρονικού ταχυδρομείου,Όνομα,Συνολικοί βαθμοί,Σχόλια για το κουίζ,Ώρα δημοσίευσης βαθμού,"Prior to the COVID-19 crisis, were you able to work from home?","Βαθμοί - Prior to the COVID-19 crisis, were you able to work from home?","Σχόλια - Prior to the COVID-19 crisis, were you able to work from home?",Βαθμοί - Did you receive any security guidelines from your employer regarding working from home?,Σχόλια - Did you receive any security guidelines from your employer regarding working from home?,Βαθμοί - Please describe the main (2-3) security guidelines provided.,Σχόλια - Please describe the main (2-3) security guidelines provided.,Devices,Βαθμοί - What kind of devices are you using to connect to your corporate working environment?,Σχόλια - What kind of devices are you using to connect to your corporate working environment?,Βαθμοί - Are these devices accessed by users other than yourself?,Σχόλια - Are these devices accessed by users other than yourself?,These devices are:,Βαθμοί - These devices are:,Σχόλια - These devices are:,Βαθμοί - Are these devices managed by your organization?,Σχόλια - Are these devices managed by your organization?,Βαθμοί - Which of the following apply for the devices you currently use for your working from home employment?,Σχόλια - Which of the following apply for the devices you currently use for your working from home employment?,Access_Type,Βαθμοί - How do you obtain access to your corporate working environment?,Σχόλια - How do you obtain access to your corporate working environment?,Βαθμοί - Please describe how you obtain access to your corporate working environment.,Σχόλια - Please describe how you obtain access to your corporate working environment.,Βαθμοί - How were you informed how to use them?,Σχόλια - How were you informed how to use them?,Has your company adopted a specific collaboration solution?,Βαθμοί - Has your company adopted a specific collaboration solution?,Σχόλια - Has your company adopted a specific collaboration solution?,What abilities does it offer?,Βαθμοί - What abilities does it offer?,Σχόλια - What abilities does it offer?,"Βαθμοί - Please name any other cyber-security threats you encountered during this period, not listed above.","Σχόλια - Please name any other cyber-security threats you encountered during this period, not listed above.",Βαθμοί - To what extent do you agree with the following statements:,Σχόλια - To what extent do you agree with the following statements:,I prefer working from home than going to the office.,Βαθμοί - I prefer working from home than going to the office.,Σχόλια - I prefer working from home than going to the office.,WFH_Productive,Βαθμοί - I work more productively from home.,Σχόλια - I work more productively from home.,I collaborate with my colleagues as effectively as when we are in office.,Βαθμοί - I collaborate with my colleagues as effectively as when we are in office.,Σχόλια - I collaborate with my colleagues as effectively as when we are in office.,Emp_Satisfaction_Crisis,Βαθμοί - I am satisfied by my employer’s approach to the crisis.,Σχόλια - I am satisfied by my employer’s approach to the crisis.,Tech_Support_Satisfactory,"Βαθμοί - I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).","Σχόλια - I have all the support i need to face any technical problems i have (eg. corporate access issues,  infrastructure failures, etc.).",Emp_Satisfied_with_Approach,Βαθμοί - I am proud to work for my organization.,Σχόλια - I am proud to work for my organization.,I have access to the things I need to do my job well.,Βαθμοί - I have access to the things I need to do my job well.,Σχόλια - I have access to the things I need to do my job well.,Age_Range,Βαθμοί - What is your age?,Σχόλια - What is your age?,What is the highest degree or level of school you have completed?,Βαθμοί - What is the highest degree or level of school you have completed?,Σχόλια - What is the highest degree or level of school you have completed?,Please select the business domain of the organization you work for.,Βαθμοί - Please select the business domain of the organization you work for.,Σχόλια - Please select the business domain of the organization you work for.,Please specify which is the business domain of the organization you work for.,Βαθμοί - Please specify which is the business domain of the organization you work for.,Σχόλια - Please specify which is the business domain of the organization you work for.,Which of the following best describes your work position?,Βαθμοί - Which of the following best describes your work position?,Σχόλια - Which of the following best describes your work position?,Comments,Βαθμοί - Comments,Σχόλια - Comments
5,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Remote connection to your workstation (e.g. TeamViewer),,,,,,,Yes,,,File sharing;Collaborative file editing;Web conference;Real-time chatting;,,,,,,,Disagree,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
6,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,No special provisions,,,,,,,Yes,,,File sharing;Collaborative file editing;Web conference;Real-time chatting;,,,,,,,Disagree,,,Agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,-,,
7,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,No special provisions,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Doctorate degree,,,Security (cyber),,,,,,Manager,,,,,
8,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,No special provisions,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Undecided,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
9,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,VPN access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,IT professional,,,,,
10,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,No special provisions,,,,,,,No,,,,,,,,,,Disagree,,,Strongly disagree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,18-24 years old,,,"High school graduate, diploma or the equivalent",,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
11,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;Other;,,,,,,,Agree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Education & Research,,,,,,Security professional,,,,,
12,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Project/Workflow/Task management;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,Doctorate degree,,,Education & Research,,,,,,Manager,,,,,
13,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Manager,,,,,
14,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,Strongly agree,,,18-24 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
15,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Teleconferencing;,,,,,,,Agree,,,Strongly agree,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
16,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Undecided,,,Agree,,,Undecided,,,Undecided,,,Agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
17,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly disagree,,,Agree,,,Undecided,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Education & Research,,,,,,IT professional,,,,,
18,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
19,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
20,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Undecided,,,Strongly agree,,,Agree,,,35-44 years old,,,,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
21,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
22,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly disagree,,,Strongly disagree,,,Strongly disagree,,,Strongly disagree,,,Disagree,,,Undecided,,,Undecided,,,35-44 years old,,,Master’s degree,,,Banking & Financial,,,,,,IT professional,,,,,
23,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,Other,,,Consulting ,,,Manager,,,,,
24,anonymous,,,,,No,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,No Access,,,,,,,No,,,,,,,,,,Disagree,,,Strongly disagree,,,Strongly disagree,,,Undecided,,,Disagree,,,Undecided,,,Undecided,,,25-34 years old,,,Associate degree,,,Public Sector,,,,,,Other,,,,,
25,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Undecided,,,Strongly disagree,,,Undecided,,,Agree,,,Undecided,,,55-64 years old,,,Professional degree,,,IT (Information Technology),,,,,,Other,,,,,
26,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Undecided,,,Agree,,,18-24 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Researcher,,,,,
27,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Project/Workflow/Task management;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Disagree,,,Agree,,,Disagree,,,Undecided,,,Agree,,,35-44 years old,,,"High school graduate, diploma or the equivalent",,,IT (Information Technology),,,,,,Manager,,,,,
28,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,Manager,,,"This is a big adjustment for many people. Your first few days of WFH may leave you irritated, uncomfortable, unmotivated, or just plain exhausted. Adding security tips to the list may just add to your fatigue right now. We understand. Take it a day at a time, a step at a time.
When working from home, find a comfortable working area where you can assume a healthy posture, minimize the distraction from others, and where your presence has the least impact on how others have to behave. Take breaks to stretch your legs, and give your eyes a rest. And if you enjoy WFH, now is the time to prove to your employer that it’s a viable option in the long run.

Stay safe, everyone! Now more than ever.",,
29,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,Researcher,,,,,
30,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
31,anonymous,,,,,Yes,,,,,,,Laptop;Tablet;Smartphone;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Disagree,,,Undecided,,,Disagree,,,Agree,,,Agree,,,45-54 years old,,,Master’s degree,,,Other,,,Association ,,,Manager,,,,,
32,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Other,,,,,,,Yes,,,Project/Workflow/Task management;Teleconferencing;,,,,,,,Strongly agree,,,Undecided,,,Disagree,,,Disagree,,,Strongly disagree,,,Agree,,,Undecided,,,35-44 years old,,,"High school graduate, diploma or the equivalent",,,Education & Research,,,,,,Researcher,,,,,
33,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
34,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Manager,,,,,
35,anonymous,,,,,No,,,,,,,Desktop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Agree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Public Sector,,,,,,Other,,,,,
36,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Smartphone;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Banking & Financial,,,,,,IT professional,,,,,
37,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Researcher,,,,,
38,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Undecided,,,Agree,,,Undecided,,,Strongly agree,,,Undecided,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
39,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Strongly disagree,,,Strongly disagree,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
40,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time document co-authoring;Teleconferencing;,,,,,,,Agree,,,Agree,,,Undecided,,,Agree,,,Undecided,,,Agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
41,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
42,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Undecided,,,Agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
43,anonymous,,,,,Yes,,,,,,,Laptop;Tablet;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;,,,,,,,Disagree,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
44,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Other,,,trade,,,Manager,,,,,
45,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Strongly agree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,Marketing and Communication,,,Manager,,,,,
46,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Strongly disagree,,,Strongly disagree,,,Strongly disagree,,,Disagree,,,Agree,,,Undecided,,,Agree,,,18-24 years old,,,Bachelor’s degree,,,Telecommunications,,,,,,Other,,,,,
47,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Agree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
48,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;,,,,,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Associate degree,,,Other,,,Retail,,,IT professional,,,,,
49,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,35-44 years old,,,Bachelor’s degree,,,Other,,,Sales,,,Other,,,,,
50,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Disagree,,,Agree,,,Strongly agree,,,Agree,,,Undecided,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,"I prefer to work effectively with ALL my colleagues in the office in a few months from now, and let's sacrifice a little efficiency today",,
51,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Strongly disagree,,,Agree,,,Disagree,,,25-34 years old,,,Master’s degree,,,Telecommunications,,,,,,Other,,,,,
52,anonymous,,,,,Yes,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Agree,,,Agree,,,Undecided,,,Disagree,,,Agree,,,55-64 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
53,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,No Access,,,,,,,No,,,,,,,,,,Strongly agree,,,Undecided,,,Agree,,,Agree,,,Undecided,,,Agree,,,Undecided,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
54,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Undecided,,,Undecided,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,18-24 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Researcher,,,,,
55,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Undecided,,,Undecided,,,Agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,18-24 years old,,,Bachelor’s degree,,,Other,,,R&D,,,Researcher,,,,,
56,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Other,,,,,,,No,,,,,,,,,,Strongly agree,,,Undecided,,,Agree,,,Disagree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,Public Sector,,,,,,Other,,,,,
