129,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Undecided,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Public Sector,,,,,,Other,,,,,
130,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Other,,,Administrative employee,,,Other,,,,,
131,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Other,,,,,
132,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
133,anonymous,,,,,No,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Undecided,,,Undecided,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,25-34 years old,,,Bachelor’s degree,,,Other,,,Ecommerce services,,,Manager,,,,,
134,anonymous,,,,,Yes,,,,,,,Desktop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Strongly disagree,,,Strongly disagree,,,Disagree,,,Agree,,,Agree,,,Undecided,,,Agree,,,45-54 years old,,,"Some college credit, no degree",,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
135,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Teleconferencing;,,,,,,,Agree,,,Agree,,,Undecided,,,Agree,,,Undecided,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
136,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Other,,,,,
137,anonymous,,,,,Yes,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Telecommunications,,,,,,IT professional,,,,,
138,anonymous,,,,,Yes,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,e-commerce,,,Other,,,,,
139,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Undecided,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,"Some college credit, no degree",,,IT (Information Technology),,,,,,IT professional,,,,,
140,anonymous,,,,,No,,,,,,,Desktop;Smartphone;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Researcher,,,,,
141,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Project/Workflow/Task management;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Undecided,,,Agree,,,35-44 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Other,,,"People tend to adjust to any difficult situation. 
If coherent / sustainable work from home decision will be taken, we would need to change our perspective on life and world. Maybe consider buying a home out of the crowded city (with a dedicated office space) instead o sating in a small space in the city to reach office in less than one hour :)
I hope this will change our attitude towards what time means.  (3 hours on the road from home to work and back) is not personal / free / healthy time ",,
142,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,No,,,,,,,,,,Agree,,,Strongly agree,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Telecommunications,,,,,,Manager,,,,,
143,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Disagree,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,IT professional,,,,,
144,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Strongly agree,,,Disagree,,,Agree,,,Undecided,,,Agree,,,Agree,,,35-44 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,Manager,,,,,
145,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,No Access,,,,,,,No,,,,,,,,,,Disagree,,,Strongly disagree,,,Agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,35-44 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,Researcher,,,,,
146,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
147,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,Public Sector,,,,,,IT professional,,,,,
148,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Bachelor’s degree,,,Education & Research,,,,,,IT professional,,,,,
149,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
150,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,25-34 years old,,,Bachelor’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
151,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Strongly disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
152,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Other,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly disagree,,,Undecided,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,IT professional,,,,,
153,anonymous,,,,,No,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Other,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly disagree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Researcher,,,,,
154,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Other,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly disagree,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Researcher,,,,,
155,anonymous,,,,,No,,,,,,,Desktop;,,,,,Corporate assets,,,,,,,Other,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Other,,,,,
156,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Other,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;,,,,,,,Disagree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Other,,,,,
157,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Other,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Strongly disagree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Doctorate degree,,,EPES (Electrical Power & Energy Systems),,,,,,Researcher,,,,,
158,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Undecided,,,Disagree,,,Agree,,,25-34 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Researcher,,,,,
159,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Disagree,,,Agree,,,Undecided,,,Disagree,,,Agree,,,45-54 years old,,,Trade/technical/vocational training,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
160,anonymous,,,,,No,,,,,,,Desktop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Strongly agree,,,Agree,,,Strongly agree,,,Undecided,,,55-64 years old,,,Trade/technical/vocational training,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
161,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Strongly disagree,,,Strongly disagree,,,Strongly disagree,,,Agree,,,Undecided,,,Agree,,,Undecided,,,45-54 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
162,anonymous,,,,,No,,,,,,,Laptop;Tablet;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,Trade/technical/vocational training,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
163,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Strongly agree,,,Agree,,,Strongly agree,,,Agree,,,45-54 years old,,,Trade/technical/vocational training,,,EPES (Electrical Power & Energy Systems),,,,,,Manager,,,,,
164,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Disagree,,,Disagree,,,45-54 years old,,,Associate degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
165,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Undecided,,,Undecided,,,Agree,,,25-34 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
166,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,IT professional,,,,,
167,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Tablet;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Strongly disagree,,,Strongly disagree,,,Disagree,,,Undecided,,,Undecided,,,Strongly agree,,,45-54 years old,,,Master’s degree,,,Telecommunications,,,,,,Other,,,,,
168,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,Yes,,,Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Disagree,,,Strongly agree,,,Agree,,,Strongly agree,,,Agree,,,35-44 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Manager,,,,,
169,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,No Access,,,,,,,No,,,,,,,,,,Undecided,,,Undecided,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Doctorate degree,,,Education & Research,,,,,,Researcher,,,,,
170,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Disagree,,,Strongly disagree,,,Agree,,,Agree,,,Undecided,,,Agree,,,35-44 years old,,,"High school graduate, diploma or the equivalent",,,Education & Research,,,,,,Researcher,,,,,
171,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Strongly agree,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,IT (Information Technology),,,,,,Security professional,,,,,
172,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,45-54 years old,,,Doctorate degree,,,IT (Information Technology),,,,,,IT professional,,,,,
173,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Other,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Disagree,,,Strongly agree,,,Agree,,,Strongly agree,,,Agree,,,35-44 years old,,,Bachelor’s degree,,,Other,,,OT Solutions,,,Manager,,,,,
174,anonymous,,,,,No,,,,,,,Laptop;Tablet;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
175,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Education & Research,,,,,,Manager,,,,,
176,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Undecided,,,Undecided,,,Disagree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,Trade/technical/vocational training,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
177,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,No Access,,,,,,,No,,,,,,,,,,Undecided,,,Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Undecided,,,35-44 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
178,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,Master’s degree,,,Education & Research,,,,,,Researcher,,,,,
179,anonymous,,,,,Yes,,,,,,,Desktop;Laptop;Tablet;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,,,,,,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
180,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Disagree,,,Disagree,,,Disagree,,,Undecided,,,Undecided,,,Agree,,,Undecided,,,45-54 years old,,,Trade/technical/vocational training,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
181,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Agree,,,Undecided,,,Agree,,,55-64 years old,,,Trade/technical/vocational training,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
182,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Agree,,,Agree,,,Undecided,,,Undecided,,,Strongly agree,,,Agree,,,45-54 years old,,,Trade/technical/vocational training,,,EPES (Electrical Power & Energy Systems),,,,,,Manager,,,,,
183,anonymous,,,,,No,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,55-64 years old,,,"High school graduate, diploma or the equivalent",,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
184,anonymous,,,,,No,,,,,,,Smartphone;,,,,,Personal assets,,,,,,,"Using 3rd party cloud solutions (e.g. G Cloud, Microsoft 365)",,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,45-54 years old,,,"High school graduate, diploma or the equivalent",,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
185,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Strongly agree,,,Strongly agree,,,Disagree,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,35-44 years old,,,Associate degree,,,EPES (Electrical Power & Energy Systems),,,,,,IT professional,,,,,
186,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Agree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Doctorate degree,,,EPES (Electrical Power & Energy Systems),,,,,,Manager,,,,,
187,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,45-54 years old,,,"High school graduate, diploma or the equivalent",,,EPES (Electrical Power & Energy Systems),,,,,,Other,,,,,
188,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Real-time document co-authoring;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Agree,,,Undecided,,,Agree,,,Agree,,,Agree,,,Undecided,,,Strongly agree,,,25-34 years old,,,Master’s degree,,,Other,,,"Oil & Gas, Environmental Services,Waste Management",,,Manager,,,,,
189,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Undecided,,,Undecided,,,Agree,,,Strongly agree,,,Agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Associate degree,,,Telecommunications,,,,,,Other,,,,,
190,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Project/Workflow/Task management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Agree,,,Agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,35-44 years old,,,Master’s degree,,,Banking & Financial,,,,,,IT professional,,,During a crisis at the extent of the corona-crisis the most  important thing to understand is that technology offers tools in order most of the companies to be able to operate in a safe way for the employees and with minimum disruptions!!,,
191,anonymous,,,,,No,,,,,,,Laptop;,,,,,Personal assets,,,,,,,Using VPN ,,,,,,,Yes,,,Document management;Scheduling;Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,Strongly agree,,,25-34 years old,,,Professional degree,,,Banking & Financial,,,,,,Other,,,Excellent survey!!!,,
192,anonymous,,,,,Yes,,,,,,,Laptop;,,,,,Corporate assets,,,,,,,Direct access,,,,,,,No,,,,,,,,,,Undecided,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,35-44 years old,,,Bachelor’s degree,,,Other,,,Food,,,Manager,,,,,
193,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Strongly agree,,,Disagree,,,Disagree,,,Strongly disagree,,,Agree,,,Undecided,,,Agree,,,35-44 years old,,,Master’s degree,,,Other,,,Manufacturing ,,,Manager,,,,,
194,anonymous,,,,,Yes,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,Yes,,,Real-time chatting;Teleconferencing;,,,,,,,Undecided,,,Undecided,,,Undecided,,,Disagree,,,Disagree,,,Disagree,,,Agree,,,35-44 years old,,,Master’s degree,,,Other,,,Data Centers,,,Other,,,,,
195,anonymous,,,,,No,,,,,,,Laptop;Smartphone;,,,,,Corporate assets,,,,,,,Using VPN ,,,,,,,No,,,,,,,,,,Disagree,,,Disagree,,,Agree,,,Agree,,,Strongly agree,,,Agree,,,Agree,,,35-44 years old,,,Master’s degree,,,EPES (Electrical Power & Energy Systems),,,,,,Manager,,,,,
